#{"t_start": 1789589511.7280865, "env_id": "None"}
r,l,t
-41.592449,52,785.997995
-45.990153,40,786.465039
-43.560864,48,787.026132
-50.92223,52,787.632881
-44.401022,44,788.146085
-178.968041,170,790.116051
-38.448115,62,790.83889
-43.633535,47,791.386901
-76.073634,78,792.291142
-42.260665,48,792.849122
-40.071534,51,793.441261
-280.049345,172,795.426
-42.016756,51,796.015153
-130.325097,102,797.193879
-40.35651,58,797.86662
-45.85213,42,798.353528
-51.557587,42,798.860141
-46.458859,40,799.369616
-38.335929,51,800.000911
-43.365011,49,800.590052
-43.679662,47,801.134415
-48.389301,44,801.645866
-40.599363,49,802.211744
-44.885204,39,802.665895
-181.700391,127,804.134255
-47.112333,44,804.646847
-45.571885,44,805.159477
-45.726504,39,805.61446
-45.143097,47,807.580731
-45.69003,45,808.112368
-66.768129,56,808.762543
-555.180809,500,814.568744
-35.795178,62,815.287296
-44.646989,47,815.835006
-44.828423,46,816.372245
-28.218104,73,817.220975
-44.76111,48,817.77699
-51.302429,53,818.394893
-61.138073,47,818.939459
-46.004323,55,819.575951
-46.628845,39,820.029553
-114.183201,74,820.882987
-52.05974,54,821.508773
-44.676784,44,822.017217
-43.902174,50,822.599793
-46.223355,40,823.065123
-40.685128,51,823.652597
-39.658668,47,824.198445
-148.7956,147,825.891538
-38.578125,60,826.587589
-192.523409,144,828.246542
-105.087559,108,829.562322
-44.043062,52,830.203048
-59.873549,54,830.839891
-38.240224,59,832.908027
-45.321485,42,833.401903
-48.674422,43,833.903476
-54.57073,51,834.499337
-64.928643,52,835.105649
-339.429886,320,838.806079
-45.602858,40,839.273104
-43.775904,48,839.832735
-42.360913,52,840.440145
-79.820344,68,841.235472
-66.529106,61,841.945071
-61.166845,60,842.644242
-42.360764,48,843.202475
-59.676793,52,843.808172
-48.429558,51,844.405112
-45.766769,47,844.952353
-51.726112,44,845.465499
-50.270575,56,846.11527
-45.043595,40,846.584794
-38.744846,57,847.241928
-58.088275,53,847.856088
-43.534632,52,848.462407
-86.70726,92,849.533632
-155.835172,181,851.617454
-41.53408,48,852.175517
-43.897826,46,852.707953
-508.35543,500,859.862212
-43.644851,47,860.43728
-43.860073,64,861.181338
-45.51757,41,861.660354
-37.438772,62,862.381363
-44.167731,45,862.905527
-40.566545,50,863.485817
-44.635221,48,864.044041
-64.279989,54,864.672792
-43.557972,43,865.17433
-45.770245,45,865.699439
-48.308932,51,866.293743
-57.017188,55,866.933689
-37.639124,55,867.573677
-583.666383,355,871.67613
-42.793256,47,872.225726
-46.752367,41,872.706315
-58.469662,54,873.331946
-63.761229,51,873.923311
-41.518223,43,874.424373
-82.014077,116,875.768465
-39.925629,62,876.497733
-61.567544,59,877.19784
-44.750416,50,877.777444
-43.085998,56,878.425066
-39.685529,58,879.097909
-45.730268,45,879.617359
-42.041466,49,880.186762
-53.059148,55,880.824407
-62.020863,53,881.434332
-45.295853,60,883.468857
-193.184923,177,885.503445
-74.590939,61,886.214992
-100.563701,96,887.331991
-46.147645,42,887.821981
-45.921515,58,888.492402
-52.554809,50,889.111354
-40.932097,46,889.711862
-47.039143,40,890.214615
-43.564015,49,890.822209
-43.979644,47,891.408378
-45.592183,39,891.88212
-47.345097,40,892.357199
-49.571429,45,892.901318
-40.301502,59,893.588254
-57.333645,51,894.181631
-58.440305,47,894.729231
-32.031626,69,895.530519
-52.147059,57,896.254661
-34.16718,63,896.987669
-50.074277,58,897.66407
-78.418003,73,898.512379
-62.590562,69,899.313731
-52.71791,58,899.986976
-216.62517,194,902.223651
-81.634318,57,902.883681
-48.861864,48,903.437507
-52.048305,46,903.969237
-52.257059,46,904.502066
-54.033989,50,905.083284
-581.169835,500,912.181104
-60.054692,52,912.787189
-261.504512,237,915.665792
-45.216453,44,916.189452
-45.527661,47,916.758696
-63.508088,51,917.349296
-642.191463,500,923.287664
-45.756294,40,923.755631
-42.906084,57,924.421091
-46.69293,41,924.899575
-45.748066,48,925.456938
-46.049898,45,925.980541
-182.327332,159,927.889586
-45.175733,45,928.42187
-55.143093,51,929.018176
-162.54323,141,930.64448
-42.511078,60,931.345062
-43.153688,46,931.878033
-50.930969,43,932.376639
-45.216226,40,934.219962
-42.813015,42,934.732607
-86.837463,90,935.777729
-45.03753,44,936.286618
-40.29179,48,936.843594
-52.978649,50,937.422221
-55.04567,66,938.184061
-45.62575,41,938.661407
-42.47405,48,939.218462
-40.903457,49,939.787002
-46.700568,46,940.319913
-43.924366,48,940.876797
-39.402363,59,941.56286
-44.033142,73,942.439393
-44.301792,44,942.952861
-43.572835,50,943.531023
-86.612496,90,944.568669
-32.514008,56,945.219364
-44.648128,47,945.765809
-45.142674,40,946.238175
-60.431751,62,946.954977
-40.625747,53,947.573751
-123.084929,113,948.89531
-45.219819,45,949.473618
-43.235254,51,950.122335
-75.112607,74,950.997133
-44.666085,42,951.489593
-41.165121,50,952.112679
-41.40857,55,952.771966
-48.165412,42,953.262516
-66.730901,51,953.853794
-357.464803,221,956.429146
-45.72041,51,957.023868
-62.971596,49,957.592241
-69.982186,55,959.620451
-67.365465,76,960.504129
-45.905464,64,961.242784
-33.806311,62,961.958424
-44.449116,44,962.470082
-62.937406,54,963.093916
-42.944436,50,963.676893
-41.709044,47,964.223845
-49.119532,50,964.8004
-52.945415,61,965.503645
-540.479107,500,971.277797
-44.866589,40,971.740651
-50.571082,46,972.274174
-236.266752,173,974.264788
-57.767266,49,974.830302
-47.05882,48,975.385862
-45.940544,45,975.905731
-40.407209,61,976.607931
-280.299643,207,979.043083
-36.096371,61,979.821617
-43.955154,49,980.435705
-129.527974,108,981.690021
-83.233965,67,982.468611
-38.742068,62,983.188941
-54.192417,64,985.249187
-47.891472,59,985.931013
-47.320861,56,986.39843
-569.399865,500,989.238931
-43.037811,49,989.508703
-45.133417,45,989.760992
-59.28109,53,990.054852
-37.842909,59,990.383225
-55.340917,58,990.701059
-40.353385,47,990.973102
-62.191088,58,991.459419
-54.0665,57,992.14676
-64.361171,51,992.739369
-43.019232,47,993.368185
-248.950608,172,995.684076
-51.464436,48,996.282607
-38.393809,63,997.038038
-48.914858,48,997.630792
-49.552729,45,998.178966
-91.508736,74,999.074524
-54.664025,58,999.762923
-37.75684,74,1000.632755
-45.833195,45,1001.180079
-39.482637,51,1001.794705
-77.67565,63,1002.550676
-38.035267,58,1003.245085
-47.866624,46,1003.795059
-61.235471,63,1005.940012
-46.926449,52,1006.556978
-51.454422,48,1007.126786
-44.814633,48,1007.702431
-36.636476,64,1008.459271
-51.220304,46,1009.028071
