step,t,car,x,y,yaw_deg,heading_err_deg,progress_cum,lateral,speed,throttle,steer,gap_ahead
69,4.600,A,10.090,0.493,-14.7,-14.7,10.090,0.493,4.046,1.000,1.000,-3.344
69,4.600,B,13.434,-0.243,0.1,0.1,13.433,-0.243,5.579,1.000,-0.008,3.344
70,4.667,A,10.356,0.445,-13.4,-13.4,10.356,0.445,4.057,1.000,1.000,-3.453
70,4.667,B,13.810,-0.247,-0.1,-0.1,13.809,-0.247,5.686,1.000,-0.192,3.453
71,4.733,A,10.626,0.410,-11.7,-11.7,10.626,0.410,4.065,1.000,1.000,-3.563
71,4.733,B,14.189,-0.253,-0.4,-0.4,14.189,-0.253,5.692,1.000,0.649,3.563
72,4.800,A,10.898,0.391,-9.5,-9.5,10.898,0.391,4.073,1.000,1.000,-3.670
72,4.800,B,14.568,-0.262,-0.8,-0.8,14.568,-0.262,5.693,1.000,0.191,3.670
73,4.867,A,11.172,0.389,-7.0,-7.0,11.172,0.389,4.081,1.000,0.691,-3.775
73,4.867,B,14.948,-0.260,-0.3,-0.3,14.948,-0.260,5.702,1.000,-0.082,3.775
74,4.933,A,11.450,0.400,-4.3,-4.3,11.450,0.400,4.168,1.000,-0.308,-3.879
74,4.933,B,15.328,-0.253,0.1,0.1,15.328,-0.253,5.716,1.000,0.073,3.879
75,5.000,A,11.731,0.416,-2.2,-2.2,11.731,0.416,4.227,1.000,-0.267,-3.979
75,5.000,B,15.710,-0.250,0.3,0.3,15.710,-0.250,5.752,1.000,0.019,3.979
76,5.067,A,12.016,0.424,-1.1,-1.1,12.016,0.424,4.281,1.000,-1.000,-4.082
76,5.067,B,16.098,-0.244,0.5,0.5,16.097,-0.244,5.855,1.000,0.562,4.082
77,5.133,A,12.302,0.420,-1.0,-1.0,12.302,0.420,4.302,1.000,-1.000,-4.185
77,5.133,B,16.488,-0.234,0.9,0.9,16.488,-0.234,5.852,1.000,0.018,4.185
78,5.200,A,12.589,0.404,-1.7,-1.7,12.589,0.404,4.318,1.000,-0.655,-4.288
78,5.200,B,16.878,-0.219,1.3,1.3,16.878,-0.219,5.871,1.000,0.244,4.288
79,5.267,A,12.877,0.373,-3.0,-3.0,12.877,0.373,4.331,1.000,-0.488,-4.392
79,5.267,B,17.269,-0.203,1.7,1.7,17.269,-0.203,5.872,1.000,-0.253,4.392
80,5.333,A,13.165,0.329,-4.7,-4.7,13.165,0.329,4.376,0.885,-0.115,-4.495
80,5.333,B,17.660,-0.183,2.1,2.1,17.660,-0.183,5.874,1.000,-0.269,4.495
81,5.400,A,13.455,0.279,-6.2,-6.2,13.455,0.279,4.431,0.892,0.089,-4.597
81,5.400,B,18.052,-0.176,1.7,1.7,18.052,-0.176,5.875,1.000,0.504,4.597
82,5.467,A,13.750,0.239,-6.6,-6.6,13.749,0.239,4.472,1.000,0.758,-4.693
82,5.467,B,18.443,-0.172,1.3,1.3,18.443,-0.172,5.876,1.000,0.163,4.693
