step,t,car,x,y,yaw_deg,heading_err_deg,progress_cum,lateral,speed,throttle,steer,gap_ahead
85,5.667,A,18.143,-0.449,15.1,15.1,18.143,-0.449,4.571,1.000,-0.446,1.424
85,5.667,B,16.718,0.763,1.3,1.3,16.718,0.763,4.562,0.658,-1.000,-1.424
86,5.733,A,18.454,-0.429,15.3,15.3,18.454,-0.429,4.589,1.000,-0.483,1.430
86,5.733,B,17.023,0.776,1.7,1.7,17.023,0.776,4.598,0.870,-1.000,-1.430
87,5.800,A,18.765,-0.410,15.4,15.4,18.765,-0.410,4.588,1.000,-0.513,1.432
87,5.800,B,17.333,0.790,1.9,1.9,17.333,0.790,4.666,0.859,-1.000,-1.432
88,5.867,A,19.079,-0.396,15.5,15.5,19.079,-0.396,4.607,1.000,-0.567,1.434
88,5.867,B,17.645,0.802,2.0,2.0,17.645,0.802,4.709,0.900,-1.000,-1.434
89,5.933,A,19.394,-0.386,15.5,15.5,19.394,-0.386,4.578,1.000,-0.558,1.433
89,5.933,B,17.962,0.812,1.9,1.9,17.962,0.812,4.780,1.000,-1.000,-1.433
90,6.000,A,19.711,-0.379,15.5,15.5,19.711,-0.379,4.655,1.000,-0.298,1.431
90,6.000,B,18.280,0.821,1.8,1.8,18.280,0.821,4.763,1.000,-1.000,-1.431
91,6.067,A,20.030,-0.365,15.6,11.1,20.001,-0.366,4.670,1.000,-0.018,1.402
91,6.067,B,18.599,0.832,1.9,1.9,18.599,0.832,4.764,1.000,-1.000,-1.402
92,6.133,A,20.348,-0.340,16.0,11.5,20.320,-0.367,4.707,1.000,0.038,1.405
92,6.133,B,18.915,0.850,2.3,2.3,18.915,0.850,4.727,1.000,-1.000,-1.405
93,6.200,A,20.666,-0.304,16.6,12.1,20.640,-0.355,4.737,1.000,-0.143,1.412
93,6.200,B,19.228,0.873,2.9,2.9,19.228,0.873,4.697,1.000,-1.000,-1.412
94,6.267,A,20.983,-0.256,17.4,12.9,20.941,-0.333,4.785,1.000,-0.180,1.402
94,6.267,B,19.539,0.903,3.8,3.8,19.539,0.903,4.664,1.000,-1.000,-1.402
95,6.333,A,21.303,-0.197,18.2,4.7,21.232,-0.348,4.870,1.000,0.602,1.385
95,6.333,B,19.848,0.940,4.7,4.7,19.848,0.940,4.649,1.000,-0.516,-1.385
96,6.400,A,21.620,-0.128,19.3,5.8,21.557,-0.355,4.818,1.000,0.449,1.324
96,6.400,B,20.157,0.978,5.4,0.9,20.233,0.963,4.699,1.000,-1.000,-1.324
97,6.467,A,21.937,-0.056,21.2,7.7,21.882,-0.359,4.821,1.000,-0.075,1.340
97,6.467,B,20.463,1.032,6.9,2.4,20.542,0.993,4.651,1.000,-0.425,-1.340
98,6.533,A,22.249,0.034,22.6,0.1,22.149,-0.391,4.876,1.000,1.000,1.296
98,6.533,B,20.771,1.079,7.4,2.9,20.853,1.015,4.681,1.000,-1.000,-1.296
99,6.600,A,22.576,0.104,24.3,1.8,22.477,-0.451,4.926,1.000,1.000,1.166
99,6.600,B,21.054,1.179,11.2,-2.3,21.311,1.048,4.380,1.000,1.000,-1.166
100,6.667,A,22.903,0.178,26.2,3.7,22.808,-0.508,4.915,1.000,1.000,1.202
100,6.667,B,21.327,1.301,15.8,2.3,21.606,1.103,4.452,1.000,1.000,-1.202
101,6.733,A,23.222,0.275,28.0,-3.5,23.051,-0.584,4.905,1.000,1.000,0.967
101,6.733,B,21.599,1.433,19.8,-2.7,22.083,1.151,4.517,1.000,1.000,-0.967
102,6.800,A,23.531,0.391,29.8,-1.7,23.375,-0.646,4.896,1.000,1.000,0.989
