car,step,t_s,lap,lap_dist_m,sector,x_m,y_m,lateral_m,speed_mps,accel_long_mps2,accel_lat_mps2,throttle_cmd,steer_cmd,steer_deg,gap_m
Car B,88,5.8667,1,18.814,1,18.814,0.026,0.026,5.2339,-0.452,1.6533,1.0,1.0,8.099,-6.316
Car A,89,5.9333,1,25.524,1,24.373,2.72,0.526,5.8721,-0.0526,4.7798,1.0,1.0,24.999,6.362
Car B,89,5.9333,1,19.162,1,19.162,0.054,0.054,5.2396,0.0857,1.9422,1.0,0.0661,24.975,-6.362
Car A,90,6.0,1,25.999,1,24.61,3.034,0.501,5.8688,-0.0491,4.7967,1.0,1.0,24.999,6.489
Car B,90,6.0,1,19.51,1,19.51,0.09,0.09,5.2527,0.1958,1.39,1.0,-0.6058,1.688,-6.489
Car A,91,6.0667,1,26.393,1,24.83,3.36,0.484,5.8656,-0.0472,4.8101,1.0,1.0,24.999,6.532
Car B,91,6.0667,1,19.86,1,19.86,0.117,0.117,5.2713,0.2799,-0.1279,0.6473,-0.0851,-15.117,-6.532
Car A,92,6.1333,1,26.86,1,25.031,3.698,0.452,5.8626,-0.0454,4.8198,1.0,1.0,24.999,6.644
Car B,92,6.1333,1,20.216,1,20.206,0.134,0.117,5.1327,-2.0791,-0.4228,1.0,1.0,-2.146,-6.644
Car A,93,6.2,1,27.251,1,25.214,4.046,0.417,5.8597,-0.0439,4.8278,1.0,1.0,24.999,6.693
Car B,93,6.2,1,20.558,1,20.548,0.154,0.111,5.1375,0.0707,0.2786,1.0,1.0,24.959,-6.693
Car A,94,6.2667,1,27.706,1,25.377,4.404,0.381,5.8568,-0.0428,4.8333,1.0,1.0,24.999,6.805
Car B,94,6.2667,1,20.901,1,20.889,0.186,0.115,5.1378,0.0051,1.3046,1.0,1.0,25.0,-6.805
Car A,95,6.3333,1,28.095,1,25.519,4.77,0.327,5.8541,-0.0415,4.8375,1.0,1.0,24.999,6.834
Car B,95,6.3333,1,21.261,1,21.229,0.232,0.086,5.136,-0.027,1.9972,1.0,1.0,25.0,-6.834
Car A,96,6.4,1,28.532,1,25.642,5.142,0.29,5.8514,-0.0404,4.8422,1.0,1.0,24.999,6.929
Car B,96,6.4,1,21.603,1,21.566,0.294,0.068,5.1331,-0.0436,2.5562,1.0,1.0,25.0,-6.929
Car A,97,6.4667,1,28.918,1,25.743,5.522,0.218,5.8488,-0.0394,4.845,1.0,1.0,24.999,6.962
Car B,97,6.4667,1,21.956,1,21.9,0.373,0.056,5.1305,-0.0389,3.0077,1.0,1.0,25.0,-6.962
Car A,98,6.5333,1,29.307,1,25.824,5.905,0.168,5.8462,-0.0388,4.8475,1.0,1.0,24.999,7.009
Car B,98,6.5333,1,22.298,1,22.23,0.469,0.018,5.1289,-0.0234,3.375,1.0,1.0,25.0,-7.009
Car A,99,6.6,1,29.708,1,25.883,6.293,0.117,5.8437,-0.0377,4.8491,1.0,0.9385,24.999,7.067
Car B,99,6.6,1,22.641,1,22.555,0.583,-0.001,5.1286,-0.0055,3.6692,1.0,1.0,25.0,-7.067
Car A,100,6.6667,1,30.098,1,25.92,6.683,0.08,5.8418,-0.0277,4.8442,1.0,0.8315,23.463,7.115
Car B,100,6.6667,1,22.983,1,22.873,0.715,-0.026,5.1295,0.0146,3.9042,1.0,1.0,24.999,-7.115
Car A,101,6.7333,1,30.49,1,25.936,7.075,0.064,5.8419,0.0015,4.8283,1.0,0.3769,20.79,7.164
Car B,101,6.7333,1,23.326,1,23.183,0.864,-0.061,5.1319,0.0357,4.0939,1.0,1.0,24.999,-7.164
Car A,102,6.8,1,30.883,1,25.938,7.468,0.062,5.91,1.0214,3.3839,1.0,0.4751,9.439,7.212
Car B,102,6.8,1,23.67,1,23.485,1.032,-0.075,5.1354,0.053,4.2437,1.0,1.0,24.999,-7.212
Car A,103,6.8667,1,31.278,1,25.93,7.863,0.07,5.9179,0.1185,3.6236,1.0,-1.0,11.872,7.276
Car B,103,6.8667,1,24.002,1,23.776,1.217,-0.108,5.14,0.0689,4.3663,1.0,1.0,24.999,-7.276
Car A,104,6.9333,1,31.673,1,25.916,8.258,0.084,5.9245,0.0983,1.9972,1.0,-0.3229,-24.944,7.327
Car B,104,6.9333,1,24.347,1,24.057,1.42,-0.136,5.1454,0.0807,4.4631,1.0,1.0,24.999,-7.327
