car,step,t_s,lap,lap_dist_m,sector,x_m,y_m,lateral_m,speed_mps,accel_long_mps2,accel_lat_mps2,throttle_cmd,steer_cmd,steer_deg,gap_m
Car B,72,4.8,1,12.727,1,12.727,0.749,0.749,4.7063,-0.1835,0.1809,0.6092,-1.0,-24.999,-1.395
Car A,73,4.8667,1,14.438,1,14.438,-0.515,-0.515,4.5454,-0.4349,-0.3306,1.0,-0.3361,-16.247,1.396
Car B,73,4.8667,1,13.042,1,13.042,0.743,0.743,4.7461,0.5969,0.0972,0.5672,-1.0,-24.999,-1.396
Car A,74,4.9333,1,14.751,1,14.751,-0.52,-0.52,4.5469,0.0228,0.239,1.0,-0.5668,-8.415,1.394
Car B,74,4.9333,1,13.358,1,13.358,0.737,0.737,4.7118,-0.5154,0.2245,0.5304,-1.0,-25.0,-1.394
Car A,75,5.0,1,15.066,1,15.066,-0.519,-0.519,4.5791,0.4822,-0.0715,1.0,-0.7148,-14.16,1.397
Car B,75,5.0,1,13.669,1,13.669,0.735,0.735,4.6594,-0.785,0.3071,0.5815,-1.0,-24.999,-1.397
Car A,76,5.0667,1,15.378,1,15.378,-0.523,-0.523,4.4671,-1.6791,-0.5046,1.0,-0.0415,-17.865,1.397
Car B,76,5.0667,1,13.981,1,13.981,0.731,0.731,4.6987,0.5887,0.0288,0.5548,-1.0,-24.999,-1.397
Car A,77,5.1333,1,15.685,1,15.685,-0.531,-0.531,4.441,-0.3911,0.0166,1.0,-0.3711,-1.065,1.392
Car B,77,5.1333,1,14.293,1,14.293,0.726,0.726,4.6684,-0.4545,-0.068,0.6478,-1.0,-25.0,-1.392
Car A,78,5.2,1,15.991,1,15.991,-0.529,-0.529,4.473,0.479,0.3056,1.0,-0.5387,-9.265,1.389
Car B,78,5.2,1,14.602,1,14.602,0.723,0.723,4.596,-1.0862,0.3345,0.5183,-1.0,-25.0,-1.389
Car A,79,5.2667,1,16.299,1,16.299,-0.522,-0.522,4.5614,1.3268,-0.6851,1.0,-0.3783,-13.461,1.395
Car B,79,5.2667,1,14.904,1,14.905,0.725,0.725,4.5114,-1.2681,0.3861,0.7522,-1.0,-24.999,-1.395
Car A,80,5.3333,1,16.609,1,16.609,-0.513,-0.513,4.533,-0.426,0.4701,1.0,-0.6771,-9.464,1.4
Car B,80,5.3333,1,15.209,1,15.209,0.729,0.729,4.5688,0.8599,0.2944,0.6293,-1.0,-25.0,-1.4
Car A,81,5.4,1,16.916,1,16.917,-0.503,-0.503,4.4575,-1.1332,-0.2291,1.0,-0.3805,-16.915,1.404
Car B,81,5.4,1,15.513,1,15.513,0.733,0.733,4.5756,0.1022,0.2415,0.5376,-1.0,-24.999,-1.404
Car A,82,5.4667,1,17.221,1,17.221,-0.499,-0.499,4.4445,-0.1953,0.1708,1.0,-0.3871,-9.524,1.404
Car B,82,5.4667,1,15.816,1,15.816,0.737,0.737,4.532,-0.6533,0.1581,0.6336,-1.0,-25.0,-1.404
Car A,83,5.5333,1,17.525,1,17.525,-0.487,-0.487,4.5054,0.9148,0.3176,1.0,-0.4212,-9.678,1.409
Car B,83,5.5333,1,16.117,1,16.117,0.741,0.741,4.4775,-0.8184,0.465,0.7937,-1.0,-25.0,-1.409
Car A,84,5.6,1,17.833,1,17.833,-0.469,-0.469,4.5507,0.6788,0.2076,1.0,-0.4262,-10.529,1.417
Car B,84,5.6,1,16.416,1,16.416,0.751,0.751,4.5057,0.4243,0.557,0.7492,-1.0,-25.0,-1.417
Car A,85,5.6667,1,18.143,1,18.143,-0.449,-0.449,4.5712,0.3078,0.1595,1.0,-0.4459,-10.655,1.424
Car B,85,5.6667,1,16.718,1,16.718,0.763,0.763,4.5623,0.8489,0.555,0.658,-1.0,-25.0,-1.424
Car A,86,5.7333,1,18.454,1,18.454,-0.429,-0.429,4.589,0.2661,0.0921,1.0,-0.483,-11.145,1.43
Car B,86,5.7333,1,17.023,1,17.023,0.776,0.776,4.5982,0.5387,0.4655,0.8704,-1.0,-25.0,-1.43
Car A,87,5.8,1,18.765,1,18.765,-0.41,-0.41,4.5875,-0.0217,0.0503,1.0,-0.5128,-12.074,1.432
Car B,87,5.8,1,17.333,1,17.333,0.79,0.79,4.6662,1.0192,0.2232,0.8589,-1.0,-24.999,-1.432
Car A,88,5.8667,1,19.079,1,19.079,-0.396,-0.396,4.6068,0.2886,0.1093,1.0,-0.5667,-12.819,1.434
Car B,88,5.8667,1,17.645,1,17.645,0.802,0.802,4.7086,0.6362,0.0417,0.9002,-1.0,-25.0,-1.434
Car A,89,5.9333,1,19.394,1,19.394,-0.386,-0.386,4.5783,-0.4264,-0.0213,1.0,-0.5579,-14.165,1.433
Car B,89,5.9333,1,17.962,1,17.962,0.812,0.812,4.7799,1.0698,-0.1585,1.0,-1.0,-25.0,-1.433
Car A,90,6.0,1,19.711,1,19.711,-0.379,-0.379,4.6551,1.1511,-0.2059,1.0,-0.2978,-13.947,1.431
Car B,90,6.0,1,18.28,1,18.28,0.821,0.821,4.7635,-0.2465,0.0656,1.0,-1.0,-25.0,-1.431
Car A,91,6.0667,1,20.001,1,20.03,-0.365,-0.366,4.6701,0.2256,0.312,1.0,-0.0181,-7.456,1.402
Car B,91,6.0667,1,18.599,1,18.599,0.832,0.832,4.7642,0.0109,0.3417,1.0,-1.0,-25.0,-1.402
Car A,92,6.1333,1,20.32,1,20.348,-0.34,-0.367,4.7067,0.5487,0.6412,1.0,0.0378,-0.463,1.405
Car B,92,6.1333,1,18.915,1,18.915,0.85,0.85,4.7275,-0.551,0.7155,1.0,-1.0,-25.0,-1.405
Car A,93,6.2,1,20.64,1,20.666,-0.304,-0.355,4.7367,0.4495,0.8413,1.0,-0.1429,0.944,1.412
Car B,93,6.2,1,19.228,1,19.228,0.873,0.873,4.6966,-0.4632,0.9939,1.0,-1.0,-25.0,-1.412
Car A,94,6.2667,1,20.941,1,20.983,-0.256,-0.333,4.7848,0.7215,1.0085,1.0,-0.1798,-3.565,1.402
Car B,94,6.2667,1,19.539,1,19.539,0.903,0.903,4.6639,-0.491,1.3131,1.0,-1.0,-25.0,-1.402
Car A,95,6.3333,1,21.232,1,21.303,-0.197,-0.348,4.8697,1.2746,0.8822,1.0,0.6018,-4.495,1.385
Car B,95,6.3333,1,19.848,1,19.848,0.94,0.94,4.6488,-0.2265,1.2366,1.0,-0.5162,-25.0,-1.385
Car A,96,6.4,1,21.557,1,21.62,-0.128,-0.355,4.818,-0.7763,1.9651,1.0,0.4494,15.015,1.324
Car B,96,6.4,1,20.233,1,20.157,0.978,0.963,4.6991,0.7548,0.771,1.0,-1.0,-12.923,-1.324
Car A,97,6.4667,1,21.882,1,21.937,-0.056,-0.359,4.821,0.0446,2.4224,1.0,-0.0746,11.24,1.34
